Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
X_WT_30500N,E3,18,WT_7806,Xenic,COMBO,1551,30500.00
X_WT_40N,B2,13,WT_7806,Xenic,COMBO,1551,40.50
X_WT_40N,C5,15,WT_7806,Xenic,COMBO,1551,40.50
X_WT_40N,C7,19,WT_7806,Xenic,COMBO,1551,40.50
X_WT_425N,D4,12,WT_7806,Xenic,COMBO,1551,425.00
X_WT_425N,E6,15,WT_7806,Xenic,COMBO,1551,425.00
X_WT_425N,C3,16,WT_7806,Xenic,COMBO,1551,425.00
BLANK,B1,12,Media_CTRL,,COMBO,,
BLANK,B8,12,Media_CTRL,,COMBO,,
BLANK,E1,12,Media_CTRL,,COMBO,,
BLANK,E8,12,Media_CTRL,,COMBO,,
BLANK,B1,13,Media_CTRL,,COMBO,,
BLANK,B8,13,Media_CTRL,,COMBO,,
BLANK,E1,13,Media_CTRL,,COMBO,,
BLANK,E8,13,Media_CTRL,,COMBO,,
BLANK,B1,14,Media_CTRL,,COMBO,,
BLANK,B8,14,Media_CTRL,,COMBO,,
BLANK,E1,14,Media_CTRL,,COMBO,,
BLANK,E8,14,Media_CTRL,,COMBO,,
BLANK,B1,15,Media_CTRL,,COMBO,,
BLANK,B8,15,Media_CTRL,,COMBO,,
BLANK,E1,15,Media_CTRL,,COMBO,,
BLANK,E8,15,Media_CTRL,,COMBO,,
BLANK,B1,16,Media_CTRL,,COMBO,,
BLANK,B8,16,Media_CTRL,,COMBO,,
BLANK,E1,16,Media_CTRL,,COMBO,,
BLANK,E8,16,Media_CTRL,,COMBO,,
BLANK,B1,17,Media_CTRL,,COMBO,,
BLANK,B8,17,Media_CTRL,,COMBO,,
BLANK,E1,17,Media_CTRL,,COMBO,,
BLANK,E8,17,Media_CTRL,,COMBO,,
BLANK,B1,18,Media_CTRL,,COMBO,,
BLANK,B8,18,Media_CTRL,,COMBO,,
BLANK,E1,18,Media_CTRL,,COMBO,,
BLANK,E8,18,Media_CTRL,,COMBO,,
BLANK,B1,19,Media_CTRL,,COMBO,,
BLANK,B8,19,Media_CTRL,,COMBO,,
BLANK,E1,19,Media_CTRL,,COMBO,,
BLANK,E8,19,Media_CTRL,,COMBO,,
