Treatment_name,Well,Plate,Culture,State,Media type,P_ug_L,N_ug_L
A_WT_171P,C3,27,WT_7806,Axenic,COMBO,171.1,14000
A_NIES_100P,C4,27,NIES_843,Axenic,COMBO,100,14000
A_MUT_100P,C5,27,MUT_7806,Axenic,COMBO,100,14000
X_MUT_10P,C6,27,MUT_7806,Xenic,COMBO,9.6,14000
X_WT_10P,C7,27,WT_7806,Xenic,COMBO,9.6,14000
A_MUT_171P,D2,27,MUT_7806,Axenic,COMBO,171.1,14000
X_NIES_171P,D3,27,NIES_843,Xenic,COMBO,171.1,14000
A_9701_100P,D4,27,PCC_9701,Axenic,COMBO,100,14000
X_MUT_100P,D5,27,MUT_7806,Xenic,COMBO,100,14000
A_9701_10P,D6,27,PCC_9701,Axenic,COMBO,9.6,14000
A_WT_10P,D7,27,WT_7806,Axenic,COMBO,9.6,14000
BLANK,E1,27,Media_CTRL,,COMBO,,
X_MUT_171P,E2,27,MUT_7806,Xenic,COMBO,171.1,14000
A_NIES_171P,E3,27,NIES_843,Axenic,COMBO,171.1,14000
X_WT_100P,E4,27,WT_7806,Xenic,COMBO,100,14000
A_WT_100P,E5,27,WT_7806,Axenic,COMBO,100,14000
X_NIES_10P,E6,27,NIES_843,Xenic,COMBO,9.6,14000
A_NIES_10P,E7,27,NIES_843,Axenic,COMBO,9.6,14000
BLANK,E8,27,Media_CTRL,,COMBO,,
BLANK,B1,28,Media_CTRL,,COMBO,,
X_9701_1551P,B2,28,PCC_9701,Xenic,COMBO,1551.6,14000
A_9701_1551P,B3,28,PCC_9701,Axenic,COMBO,1551.6,14000
X_9701_1P,B4,28,PCC_9701,Xenic,COMBO,1.1,14000
X_NIES_1P,B5,28,NIES_843,Xenic,COMBO,1.1,14000
A_MUT_3030P,B6,28,MUT_7806,Axenic,COMBO,3030,14000
X_9701_3030P,B7,28,PCC_9701,Xenic,COMBO,3030,14000
BLANK,B8,28,Media_CTRL,,COMBO,,
X_WT_1551P,C2,28,WT_7806,Xenic,COMBO,1551.6,14000
A_WT_1551P,C3,28,WT_7806,Axenic,COMBO,1551.6,14000
A_NIES_1P,C4,28,NIES_843,Axenic,COMBO,1.1,14000
A_MUT_1P,C5,28,MUT_7806,Axenic,COMBO,1.1,14000
X_MUT_3030P,C6,28,MUT_7806,Xenic,COMBO,3030,14000
X_WT_3030P,C7,28,WT_7806,Xenic,COMBO,3030,14000
A_MUT_1551P,D2,28,MUT_7806,Axenic,COMBO,1551.6,14000
X_NIES_1551P,D3,28,NIES_843,Xenic,COMBO,1551.6,14000
A_9701_1P,D4,28,PCC_9701,Axenic,COMBO,1.1,14000
X_MUT_1P,D5,28,MUT_7806,Xenic,COMBO,1.1,14000
A_9701_3030P,D6,28,PCC_9701,Axenic,COMBO,3030,14000
A_WT_3030P,D7,28,WT_7806,Axenic,COMBO,3030,14000
BLANK,E1,28,Media_CTRL,,COMBO,,
X_MUT_1551P,E2,28,MUT_7806,Xenic,COMBO,1551.6,14000
A_NIES_1551P,E3,28,NIES_843,Axenic,COMBO,1551.6,14000
X_WT_1P,E4,28,WT_7806,Xenic,COMBO,1.1,14000
A_WT_1P,E5,28,WT_7806,Axenic,COMBO,1.1,14000
X_NIES_3030P,E6,28,NIES_843,Xenic,COMBO,3030,14000
A_NIES_3030P,E7,28,NIES_843,Axenic,COMBO,3030,14000
BLANK,E8,28,Media_CTRL,,COMBO,,
