"","Culture","State","P_ug_L","Plate","Well","Treatment_name","gr_chlA_mean","gr_PC_mean","gr_chlA_sd","gr_pc_sd","n_obs","gr_chlA_se","gr_pc_se","chlA_upper_cl","chlA_lower_cl","pc_upper_cl","pc_lower_cl","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","slope","growthrate_corrected","gr_pc_se_corrected"
"49","MUT_7806","Xenic",1551.6,24,"B7","X_MUT_1551P",0.286652267492151,0.457863125942786,0.224877665449478,0.0285074485179092,5,0.100568349313298,0.0127489185502241,0.387220616805449,0.186083918178853,0.47061204449301,0.445114207392562,0.397138473129414,0.387423977598302,-0.00971449553111195,103.603658579208,5.61518181056556e-07,3.15291903253601,0.388293053474417,Inf,"Welch Two Sample t-test","greater",0.387423977598302,0.457863125942786,0.0127489185502241
"50","MUT_7806","Xenic",1551.6,26,"E5","X_MUT_1551P",0.313340415555581,0.505850611449622,0.254330033720945,0.0647743105676128,5,0.113739848823969,0.0289679523249731,0.42708026437955,0.199600566731611,0.534818563774595,0.476882659124649,0.397138473129414,0.387423977598302,-0.00971449553111195,103.603658579208,5.61518181056556e-07,3.15291903253601,0.388293053474417,Inf,"Welch Two Sample t-test","greater",0.387423977598302,0.505850611449622,0.0289679523249731
"51","MUT_7806","Xenic",1551.6,28,"E2","X_MUT_1551P",0.340748925165991,0.479883783054374,0.131580161352547,0.0707513636801912,5,0.058844437054937,0.0316409717379434,0.399593362220928,0.281904488111054,0.511524754792317,0.44824281131643,0.397138473129414,0.387423977598302,-0.00971449553111195,103.603658579208,5.61518181056556e-07,3.15291903253601,0.388293053474417,Inf,"Welch Two Sample t-test","greater",0.387423977598302,0.479883783054374,0.0316409717379434
"52","MUT_7806","Xenic",3030,21,"B5","X_MUT_3030P",0.230962098860591,0.415274046611927,0.128235334182674,0.0254626765544299,5,0.0573485848699723,0.0113872551329591,0.288310683730563,0.173613513990618,0.426661301744886,0.403886791478968,0.379501445113762,0.36978694958265,-0.00971449553111195,98.4107013650255,7.07640030547133e-07,3.13396884075737,0.370582156285118,Inf,"Welch Two Sample t-test","greater",0.36978694958265,0.415274046611927,0.0113872551329591
"53","MUT_7806","Xenic",3030,25,"C3","X_MUT_3030P",0.345844748065589,0.470513274260385,0.132971158749124,0.0517500227250792,5,0.0594665100019913,0.0231433137300872,0.405311258067581,0.286378238063598,0.493656587990472,0.447369960530297,0.379501445113762,0.36978694958265,-0.00971449553111195,98.4107013650255,7.07640030547133e-07,3.13396884075737,0.370582156285118,Inf,"Welch Two Sample t-test","greater",0.36978694958265,0.470513274260385,0.0231433137300872
"54","MUT_7806","Xenic",3030,28,"C6","X_MUT_3030P",0.214360998517377,0.488389942144232,0.237519040611314,0.106732710223684,5,0.106221744151486,0.0477323190965888,0.320582742668863,0.108139254365891,0.536122261240821,0.440657623047644,0.379501445113762,0.36978694958265,-0.00971449553111195,98.4107013650255,7.07640030547133e-07,3.13396884075737,0.370582156285118,Inf,"Welch Two Sample t-test","greater",0.36978694958265,0.488389942144232,0.0477323190965888
"55","NIES_843","Axenic",1.1,20,"E3","A_NIES_1P",-0.238558253260863,0.257169305194644,0.141720209284348,0.149330529948927,5,0.0633792043490596,0.0667826432163738,-0.175179048911803,-0.301937457609923,0.323951948411018,0.190386661978271,0.101754331955003,0.0920398364238915,-0.00971449553111195,3.96364634516266,0.0286434852099265,2.0184114111034,0.0272569929528331,Inf,"Welch Two Sample t-test","greater",0.0920398364238915,0,0
"56","NIES_843","Axenic",1.1,22,"B7","A_NIES_1P",-0.0992035160711633,0.181032956830767,0.182040311481555,0.104280808994875,5,0.0814109022235983,0.0466357955322425,-0.017792613847565,-0.180614418294762,0.227668752363009,0.134397161298524,0.101754331955003,0.0920398364238915,-0.00971449553111195,3.96364634516266,0.0286434852099265,2.0184114111034,0.0272569929528331,Inf,"Welch Two Sample t-test","greater",0.0920398364238915,0,0
"57","NIES_843","Axenic",1.1,28,"C4","A_NIES_1P",-0.0343395468073873,0.168844372551001,0.184607731437038,0.08879479175087,5,0.0825590873330485,0.0397102380805766,0.0482195405256611,-0.116898634140436,0.208554610631578,0.129134134470425,0.101754331955003,0.0920398364238915,-0.00971449553111195,3.96364634516266,0.0286434852099265,2.0184114111034,0.0272569929528331,Inf,"Welch Two Sample t-test","greater",0.0920398364238915,0,0
"58","NIES_843","Axenic",9.6,21,"C2","A_NIES_10P",0.201499072850894,0.46835115751543,0.272406249162701,0.108198692786406,5,0.121823778124709,0.0483879264294041,0.323322850975603,0.0796752947261849,0.516739083944834,0.419963231086026,0.344647682689323,0.334933187158211,-0.00971449553111195,129.71850033024,1.00556305101507e-11,5.90107984136384,0.33946932728587,Inf,"Welch Two Sample t-test","greater",0.334933187158211,0.46835115751543,0.0483879264294041
